DEL_TICKET_NO	DOCUMENT_NO	STORE_NO	ARLO_NO	TICKET_STATUS_CODE	DSD_DEL_TICKET_NO	DSD_RET_TICKET_NO	MANUAL_DEL_TICKET_NO	MANUAL_RET_TICKET_NO	CASH_IND	CUST_TYPE	DEL_TOTAL_AMT	RET_TOTAL_AMT	RET_TICKET_NO	DEL_TICKET_DISCOUNT_AMT	RET_TICKET_DISCOUNT_AMT	DEX_IND	DEX_SIGNATURE	PRINT_IND	TRANS_DATE	TRANS_START_HOUR	TRANS_START_MINUTE	TRANS_END_HOUR	TRANS_END_MINUTE	STORE_DELIVERY_DATE	PO_NUMBER	UPLOAD_IND	CUSTOMER_ID	TICKET_TYPE	TICKET_SURCHARGE_AMT	RET_DEX_SIGNATURE	CARRY_OVER_IND	EXTRACT_DEL_TOTAL_AMT	EXTRACT_RET_TOTAL_AMT	DEL_QTY	RET_QTY	DEL_SALES_TAX_AMT	RET_SALES_TAX_AMT	INVOICE_PRINTED_TIME	SALES_TYPE
03103138441,00005888,600095447,01,F,,,,,N,F,523.68,40.29,03103138442,0.00,0.00, ,,1,2017-02-17 00:00:00.000,3,26,7,58,2017-02-17 00:00:00.000,,1,0061425,Y,0.00,,0,523.68,40.29,251,-17,0.00,0.00,2017-02-17 07:57:40.000, 
03103138443,00005887,900360126,01,F,,,,,N,F,616.79,33.79,03103138444,0.00,0.00, ,,1,2017-02-17 00:00:00.000,3,29,6,22,2017-02-17 00:00:00.000,,1,0088467,Y,0.00,,0,616.79,33.79,308,-16,0.00,0.00,2017-02-17 05:25:41.000, 
03103138445,00005886,900360111,01,F,,,,,N,F,646.48,9.65,03103138446,0.00,0.00, ,,1,2017-02-17 00:00:00.000,3,35,4,54,2017-02-17 00:00:00.000,,1,0038053,Y,0.00,,0,646.48,9.65,292,-5,0.00,0.00,2017-02-17 04:03:52.000, 
03103138447,00005889,488881618,08,F,,,,,N,F,101.34,67.64,03103138448,0.00,0.00, ,,1,2017-02-17 00:00:00.000,8,42,9,6,2017-02-17 00:00:00.000,,1,0086484,Y,0.00,,0,101.34,67.64,33,-22,0.00,0.00,2017-02-17 08:59:11.000, 
03103138449,00005890,511301822,01,F,,,,,N,F,136.50,26.75,03103138450,0.00,0.00, ,,1,2017-02-17 00:00:00.000,9,7,9,37,2017-02-17 00:00:00.000,,1,0048257,Y,0.00,,0,136.50,26.75,58,-12,0.00,0.00,2017-02-17 09:37:09.000, 
03103138451,00005891,400090813,01,F,,,,,N,F,157.51,12.04,03103138452,0.00,0.00,Y,E3D8,1,2017-02-17 00:00:00.000,9,47,10,0,2017-02-17 00:00:00.000,,1,0044823,Y,0.00,E3D8,0,157.51,12.04,52,-4,0.00,0.00,2017-02-17 09:55:00.000, 
03103138453,,400090813,06,F,,,,,N,F,15.08,2.51,03103138454,0.00,0.00,Y,E3D8,0,2017-02-17 00:00:00.000,9,48,10,0,2017-02-17 00:00:00.000,,1,0044823,Y,0.00,E3D8,0,15.08,2.51,6,-1,0.00,0.00,2017-02-17 09:55:09.000, 
03103138455,,400090813,08,F,,,,,N,F,245.27,33.58,03103138456,0.00,0.00,Y,E3D8,0,2017-02-17 00:00:00.000,9,48,10,1,2017-02-17 00:00:00.000,,1,0044823,Y,0.00,E3D8,0,245.27,33.58,81,-10,0.00,0.00,2017-02-17 09:55:04.000, 
03103138406,00005858,103060001,08,F,,,,,N,F,65.68,0.00,03103138407,0.00,0.00, ,,1,2017-02-14 00:00:00.000,2,19,10,6,2017-02-14 00:00:00.000,,1,0097790,Y,0.00,,0,65.68,0.00,28,0,0.00,0.00,2017-02-14 02:20:31.000, 
03103138408,00005859,008505221,08,F,,,,,N,F,116.94,0.00,,0.00,0.00, ,,1,2017-02-14 00:00:00.000,2,20,10,10,2017-02-14 00:00:00.000,,1,0068420,N,0.00,,0,116.94,0.00,51,0,0.00,0.00,2017-02-14 02:21:26.000, 
03103138409,00005864,600095447,01,F,,,,,N,F,610.61,26.31,03103138410,0.00,0.00, ,,1,2017-02-14 00:00:00.000,3,21,7,54,2017-02-14 00:00:00.000,,1,0061425,Y,0.00,,0,610.61,26.31,293,-12,0.00,0.00,2017-02-14 07:54:18.000, 
03103138411,00005863,900360126,01,F,,,,,N,F,769.98,13.64,03103138412,0.00,0.00, ,,1,2017-02-14 00:00:00.000,3,30,6,36,2017-02-14 00:00:00.000,,1,0088467,Y,0.00,,0,769.98,13.64,377,-5,0.00,0.00,2017-02-14 05:36:50.000, 
03103138413,00005862,900360111,01,F,,,,,N,F,749.62,20.10,03103138414,0.00,0.00, ,,1,2017-02-14 00:00:00.000,3,35,5,3,2017-02-14 00:00:00.000,,1,0038053,Y,0.00,,0,749.62,20.10,348,-9,0.00,0.00,2017-02-14 04:03:10.000, 
03103138415,00005865,511301822,01,F,,,,,N,F,161.01,29.91,03103138416,0.00,0.00, ,,1,2017-02-14 00:00:00.000,8,54,9,23,2017-02-14 00:00:00.000,,1,0048257,Y,0.00,,0,161.01,29.91,69,-12,0.00,0.00,2017-02-14 09:23:43.000, 
03103138417,00005870,400090813,01,F,,,,,N,F,179.34,14.93,03103138418,0.00,0.00,Y,D15A,1,2017-02-14 00:00:00.000,9,36,9,48,2017-02-14 00:00:00.000,,1,0044823,Y,0.00,D15A,0,179.34,14.93,58,-5,0.00,0.00,2017-02-14 09:44:10.000, 
03103138419,00005866,400090813,08,F,,,,,N,F,207.07,16.75,03103138420,0.00,0.00,Y,D15A,1,2017-02-14 00:00:00.000,9,37,9,48,2017-02-14 00:00:00.000,,1,0044823,Y,0.00,D15A,0,207.07,16.75,66,-5,0.00,0.00,2017-02-14 09:44:00.000, 
03103138421,,400090813,06,F,,,,,N,F,20.11,7.54,03103138422,0.00,0.00,Y,D15A,0,2017-02-14 00:00:00.000,9,37,9,48,2017-02-14 00:00:00.000,,1,0044823,Y,0.00,D15A,0,20.11,7.54,8,-3,0.00,0.00,2017-02-14 09:44:05.000, 
03103138423,00005871,103060001,08,F,,,,,N,F,83.53,0.00,03103138424,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,15,9,44,2017-02-16 00:00:00.000,,1,0097790,Y,0.00,,0,83.53,0.00,36,0,0.00,0.00,2017-02-16 02:16:45.000, 
03103138425,00005876,900360126,01,F,,,,,N,F,741.06,0.00,03103138426,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,17,6,37,2017-02-16 00:00:00.000,,1,0088467,Y,0.00,,0,741.06,0.00,379,0,0.00,0.00,2017-02-16 05:35:19.000, 
03103138427,00005872,008505221,08,F,,,,,N,F,52.90,0.00,,0.00,0.00, ,,1,2017-02-16 00:00:00.000,2,17,9,42,2017-02-16 00:00:00.000,,1,0068420,N,0.00,,0,52.90,0.00,23,0,0.00,0.00,2017-02-16 02:17:54.000, 
03103138428,00005875,900360111,01,F,,,,,N,F,515.60,2.99,03103138429,0.00,0.00, ,,1,2017-02-16 00:00:00.000,3,36,5,1,2017-02-16 00:00:00.000,,1,0038053,Y,0.00,,0,515.60,2.99,255,-1,0.00,0.00,2017-02-16 04:17:12.000, 
03103138430,00005877,600095447,01,F,,,,,N,F,563.80,21.47,03103138431,0.00,0.00, ,,1,2017-02-16 00:00:00.000,6,59,7,46,2017-02-16 00:00:00.000,,1,0061425,Y,0.00,,0,563.80,21.47,270,-10,0.00,0.00,2017-02-16 07:45:47.000, 
03103138432,00005878,511301822,01,F,,,,,N,F,139.44,2.12,03103138433,0.00,0.00, ,,1,2017-02-16 00:00:00.000,8,4,9,1,2017-02-16 00:00:00.000,,1,0048257,Y,0.00,,0,139.44,2.12,66,-1,0.00,0.00,2017-02-16 09:01:13.000, 
03103138434,,400090813,01,F,,,,,N,F,350.23,0.00,03103138435,0.00,0.00,Y,882E,0,2017-02-16 00:00:00.000,9,6,9,15,2017-02-16 00:00:00.000,,1,0044823,Y,0.00,,0,350.23,0.00,108,0,0.00,0.00,2017-02-16 09:08:31.000, 
03103138436,00005879,400090813,08,F,,,,,N,F,147.98,0.00,03103138437,0.00,0.00,Y,882E,1,2017-02-16 00:00:00.000,9,7,9,15,2017-02-16 00:00:00.000,,1,0044823,Y,0.00,,0,147.98,0.00,45,0,0.00,0.00,2017-02-16 09:08:26.000, 
03103138438,00005882,103060001,08,F,,,,,N,F,81.30,0.00,03103138439,0.00,0.00, ,,1,2017-02-17 00:00:00.000,2,17,10,26,2017-02-17 00:00:00.000,,1,0097790,Y,0.00,,0,81.30,0.00,35,0,0.00,0.00,2017-02-17 02:18:06.000, 
03103138440,00005883,008505221,08,F,,,,,N,F,102.34,0.00,,0.00,0.00, ,,1,2017-02-17 00:00:00.000,2,18,10,47,2017-02-17 00:00:00.000,,1,0068420,N,0.00,,0,102.34,0.00,46,0,0.00,0.00,2017-02-17 02:19:00.000, 
03103138457,00005896,008505221,08,F,,,,,N,F,155.39,0.00,,0.00,0.00, ,,1,2017-02-18 00:00:00.000,2,22,8,47,2017-02-18 00:00:00.000,,1,0068420,N,0.00,,0,155.39,0.00,68,0,0.00,0.00,2017-02-18 02:24:47.000, 
03103138458,00005898,103060001,08,F,,,,,N,F,110.43,0.00,03103138459,0.00,0.00, ,,1,2017-02-18 00:00:00.000,2,25,8,45,2017-02-18 00:00:00.000,,1,0097790,Y,0.00,,0,110.43,0.00,51,0,0.00,0.00,2017-02-18 02:29:36.000, 
03103138460,00005904,600095447,01,F,,,,,N,F,572.96,0.00,03103138461,0.00,0.00, ,,1,2017-02-18 00:00:00.000,3,22,8,46,2017-02-18 00:00:00.000,,1,0061425,Y,0.00,,0,572.96,0.00,274,0,0.00,0.00,2017-02-18 08:46:04.000, 
03103138462,00005901,900360126,01,F,,,,,N,F,847.76,0.00,03103138463,0.00,0.00, ,,1,2017-02-18 00:00:00.000,3,28,8,47,2017-02-18 00:00:00.000,,1,0088467,Y,0.00,,0,847.76,0.00,494,0,0.00,0.00,2017-02-18 03:30:38.000, 
03103138464,00005902,900360111,01,F,,,,,N,F,764.66,0.00,03103138465,0.00,0.00, ,,1,2017-02-18 00:00:00.000,3,31,5,2,2017-02-18 00:00:00.000,,1,0038053,Y,0.00,,0,764.66,0.00,428,0,0.00,0.00,2017-02-18 03:34:39.000, 
03103138466,00005903,500490080,01,F,,,,,N,F,192.84,66.41,03103138467,0.00,0.00, ,,1,2017-02-18 00:00:00.000,8,23,8,37,2017-02-18 00:00:00.000,,1,0031410,Y,0.00,,1,192.84,66.41,60,-20,0.00,0.00,2017-02-18 08:37:48.000, 
03103138468,00005905,400090813,01,F,,,,,N,F,233.78,0.00,03103138469,0.00,0.00,Y,1CAC,1,2017-02-18 00:00:00.000,9,7,9,21,2017-02-18 00:00:00.000,,1,0044823,Y,0.00,,0,233.78,0.00,72,0,0.00,0.00,2017-02-18 09:08:28.000, 
03103138470,00005907,103060001,08,F,,,,,N,F,81.41,0.00,03103138471,0.00,0.00, ,,1,2017-02-20 00:00:00.000,2,8,10,22,2017-02-20 00:00:00.000,,1,0097790,Y,0.00,,0,81.41,0.00,35,0,0.00,0.00,2017-02-20 02:09:35.000, 
03103138472,00005913,511301822,01,F,,,,,N,F,300.06,47.04,03103138473,0.00,0.00, ,,1,2017-02-20 00:00:00.000,3,16,9,29,2017-02-20 00:00:00.000,,1,0048257,Y,0.00,,1,300.06,47.04,140,-20,0.00,0.00,2017-02-20 09:29:39.000, 
03103138474,00005916,400090813,01,F,,,,,N,F,132.68,0.00,03103138475,0.00,0.00,Y,482C,1,2017-02-20 00:00:00.000,3,17,10,5,2017-02-20 00:00:00.000,,1,0044823,Y,0.00,,0,132.68,0.00,40,0,0.00,0.00,2017-02-20 09:58:30.000, 
03103138476,00005914,400090813,08,F,,,,,N,F,68.16,0.00,03103138477,0.00,0.00,Y,482C,1,2017-02-20 00:00:00.000,3,19,10,5,2017-02-20 00:00:00.000,,1,0044823,Y,0.00,,0,68.16,0.00,30,0,0.00,0.00,2017-02-20 09:58:26.000, 
03103138478,00005912,600095447,01,F,,,,,N,F,574.12,28.81,03103138479,0.00,0.00, ,,1,2017-02-20 00:00:00.000,3,19,8,11,2017-02-20 00:00:00.000,,1,0061425,Y,0.00,,1,574.12,28.81,274,-14,0.00,0.00,2017-02-20 08:11:15.000, 
03103138480,00005911,900360126,01,F,,,,,N,F,695.04,20.09,03103138481,0.00,0.00, ,,1,2017-02-20 00:00:00.000,3,24,6,46,2017-02-20 00:00:00.000,,1,0088467,Y,0.00,,0,695.04,20.09,368,-10,0.00,0.00,2017-02-20 05:30:22.000, 
03103138482,00005910,900360111,01,F,,,,,N,F,810.73,25.40,03103138483,0.00,0.00, ,,1,2017-02-20 00:00:00.000,3,26,5,5,2017-02-20 00:00:00.000,,1,0038053,Y,0.00,,0,810.73,25.40,413,-10,0.00,0.00,2017-02-20 03:56:24.000, 
03103138484,,008505221,08,V,,,,,N,F,0.00,0.00,,0.00,0.00, ,,0,2017-02-20 00:00:00.000,10,19,10,20,2017-02-20 00:00:00.000,,1,0068420,N,0.00,,0,0.00,0.00,0,0,0.00,0.00,2017-02-20 10:20:33.000, 
03103138485,00005917,103060001,08,F,,,,,N,F,154.16,0.00,03103138486,0.00,0.00, ,,1,2017-02-21 00:00:00.000,2,21,10,37,2017-02-21 00:00:00.000,,1,0097790,Y,0.00,,0,154.16,0.00,70,0,0.00,0.00,2017-02-21 02:22:11.000, 
03103138487,00005918,008505221,08,F,,,,,N,F,114.71,0.00,,0.00,0.00, ,,1,2017-02-21 00:00:00.000,2,22,10,38,2017-02-21 00:00:00.000,,1,0068420,N,0.00,,0,114.71,0.00,50,0,0.00,0.00,2017-02-21 02:23:02.000, 
03103138488,00005922,900360111,01,F,,,,,N,F,733.21,7.57,03103138489,0.00,0.00, ,,1,2017-02-21 00:00:00.000,4,4,5,18,2017-02-21 00:00:00.000,,1,0038053,Y,0.00,,0,733.21,7.57,363,-4,0.00,0.00,2017-02-21 04:16:33.000, 
03103138490,00005923,900360126,01,F,,,,,N,F,578.03,29.37,03103138491,0.00,0.00, ,,1,2017-02-21 00:00:00.000,5,41,7,3,2017-02-21 00:00:00.000,,1,0088467,Y,0.00,,0,578.03,29.37,293,-14,0.00,0.00,2017-02-21 05:47:12.000, 
03103138492,00005925,600095447,01,F,,,,,N,F,570.36,26.75,03103138493,0.00,0.00, ,,1,2017-02-21 00:00:00.000,7,3,8,2,2017-02-21 00:00:00.000,,1,0061425,Y,0.00,,0,570.36,26.75,279,-13,0.00,0.00,2017-02-21 08:02:33.000, 
03103138494,00005926,511301822,01,F,,,,,N,F,107.46,30.46,03103138495,0.00,0.00, ,,1,2017-02-21 00:00:00.000,8,30,9,34,2017-02-21 00:00:00.000,,1,0048257,Y,0.00,,0,107.46,30.46,45,-14,0.00,0.00,2017-02-21 09:34:24.000, 
03103138496,00005927,400090813,01,F,,,,,N,F,523.65,12.43,03103138497,0.00,0.00,Y,E79D,1,2017-02-21 00:00:00.000,9,49,10,4,2017-02-21 00:00:00.000,,1,0044823,Y,0.00,E79D,0,523.65,12.43,166,-4,0.00,0.00,2017-02-21 09:57:33.000, 
03103138498,,400090813,08,F,,,,,N,F,255.09,16.24,03103138499,0.00,0.00,Y,E79D,0,2017-02-21 00:00:00.000,9,49,10,5,2017-02-21 00:00:00.000,,1,0044823,Y,0.00,E79D,0,255.09,16.24,76,-6,0.00,0.00,2017-02-21 09:57:38.000, 
03103138500,00005931,400090813,06,F,,,,,N,F,35.19,0.00,03103138501,0.00,0.00,Y,E79D,1,2017-02-21 00:00:00.000,9,55,10,4,2017-02-21 00:00:00.000,,1,0044823,Y,0.00,,0,35.19,0.00,14,0,0.00,0.00,2017-02-21 09:57:44.000, 
03103138502,,900360111,01,V,,,,,N,F,0.00,0.00,03103138503,0.00,0.00, ,,0,2016-12-05 00:00:00.000,4,35,4,36,2016-12-05 00:00:00.000,,0,0038053,Y,0.00,,0,0.00,0.00,0,0,0.00,0.00,2016-12-05 04:36:49.557, 
